startTime,settlementDate,settlementPeriod,price_GBP_per_MWh,dataProvider
2024-01-01T00:00:00Z,2024-01-01,1,36.51,APXMIDP
2024-01-01T00:30:00Z,2024-01-01,2,45.17,APXMIDP
2024-01-01T01:00:00Z,2024-01-01,3,57.43,APXMIDP
2024-01-01T01:30:00Z,2024-01-01,4,46.61,APXMIDP
2024-01-01T02:00:00Z,2024-01-01,5,61.98,APXMIDP
2024-01-01T02:30:00Z,2024-01-01,6,61.09,APXMIDP
2024-01-01T03:00:00Z,2024-01-01,7,64.29,APXMIDP
2024-01-01T03:30:00Z,2024-01-01,8,51.7,APXMIDP
2024-01-01T04:00:00Z,2024-01-01,9,53.16,APXMIDP
2024-01-01T04:30:00Z,2024-01-01,10,34.87,APXMIDP
2024-01-01T05:00:00Z,2024-01-01,11,36.36,APXMIDP
2024-01-01T05:30:00Z,2024-01-01,12,34.98,APXMIDP
2024-01-01T06:00:00Z,2024-01-01,13,41.7,APXMIDP
2024-01-01T06:30:00Z,2024-01-01,14,55.33,APXMIDP
2024-01-01T07:00:00Z,2024-01-01,15,54.37,APXMIDP
2024-01-01T07:30:00Z,2024-01-01,16,56.24,APXMIDP
2024-01-01T08:00:00Z,2024-01-01,17,31.32,APXMIDP
2024-01-01T08:30:00Z,2024-01-01,18,51.55,APXMIDP
2024-01-01T09:00:00Z,2024-01-01,19,59.32,APXMIDP
2024-01-01T09:30:00Z,2024-01-01,20,72.25,APXMIDP
2024-01-01T10:00:00Z,2024-01-01,21,72.03,APXMIDP
2024-01-01T10:30:00Z,2024-01-01,22,82.01,APXMIDP
2024-01-01T11:00:00Z,2024-01-01,23,74.73,APXMIDP
2024-01-01T11:30:00Z,2024-01-01,24,81.93,APXMIDP
2024-01-01T12:00:00Z,2024-01-01,25,80.76,APXMIDP
2024-01-01T12:30:00Z,2024-01-01,26,77.51,APXMIDP
2024-01-01T13:00:00Z,2024-01-01,27,76.18,APXMIDP
2024-01-01T13:30:00Z,2024-01-01,28,77.48,APXMIDP
2024-01-01T14:00:00Z,2024-01-01,29,79.5,APXMIDP
2024-01-01T14:30:00Z,2024-01-01,30,81.15,APXMIDP
2024-01-01T15:00:00Z,2024-01-01,31,66.03,APXMIDP
2024-01-01T15:30:00Z,2024-01-01,32,61.93,APXMIDP
2024-01-01T16:00:00Z,2024-01-01,33,67.62,APXMIDP
2024-01-01T16:30:00Z,2024-01-01,34,68.13,APXMIDP
